FOLDER_NAME,FILE_NAME,DEST_FILE_NAME.ff
GOOECP92,KC524V.O.BART.B.CREDIT.DPO2.G8730.ICP92.txt,KC524V.O.BART.B.CREDIT.DPO2.G8730.ICP92.txt
GOLECP93,KS5675.L.BART.B.CREDIT.DPO3.G8723.I0507.txt,KS5675.L.BART.B.CREDIT.DPO3.G8723.I0507.txt
GOLECP93,KS5675.L.BART.B.CAMPS.REJECTS.G5959.O0507.txt,KS5675.L.BART.B.CAMPS.REJECTS.G5959.O0507.txt
GOMECP93,KS8184.BART.B.CAMPS.REJECTS.G5938.O705.txt,KS8184.BART.B.CAMPS.REJECTS.G5938.O705.txt
GOMECP93,KS8184.BART.B.CREDIT.DPO3.G8720.I705.txt,KS8184.BART.B.CREDIT.DPO3.G8720.I705.txt
GOOECP93,KC524V.O.BART.B.CAMPS.REJECTS.G3250.OCP93.txt,KC524V.O.BART.B.CAMPS.REJECTS.G3250.OCP93.txt
GOOECP93,KC524V.O.BART.B.CREDIT.DPO3.G8730.ICP93.txt,KC524V.O.BART.B.CREDIT.DPO3.G8730.ICP93.txt
GOOECP94,KC524V.O.BART.B.CAMPS.REJECTS.G3251.OCP94.txt,KC524V.O.BART.B.CAMPS.REJECTS.G3251.OCP94.txt
GOOECP94,KC524V.O.BART.B.CREDIT.DPO4.G8730.ICP94.txt,KC524V.O.BART.B.CREDIT.DPO4.G8730.ICP94.txt
GOOECP95,KC524V.O.BART.B.CAMPS.REJECTS.G3252.OCP95.txt,KC524V.O.BART.B.CAMPS.REJECTS.G3252.OCP95.txt
GOOECP95,KC524V.O.BART.B.CREDIT.DPO5.G8764.ICP95.txt,KC524V.O.BART.B.CREDIT.DPO5.G8764.ICP95.txt
